datetime,value
30/12/2020 20:00,3.429
30/12/2020 20:15,3.43
30/12/2020 20:30,3.429
30/12/2020 20:45,3.429
30/12/2020 21:00,3.429
30/12/2020 21:15,3.429
30/12/2020 21:30,3.43
30/12/2020 21:45,3.428
30/12/2020 22:00,3.428
30/12/2020 22:15,3.428
30/12/2020 22:30,3.428
30/12/2020 22:45,3.428
30/12/2020 23:00,3.428
30/12/2020 23:15,3.427
30/12/2020 23:30,3.427
30/12/2020 23:45,3.426
31/12/2020 00:00,3.427
31/12/2020 00:15,3.426
31/12/2020 00:30,3.425
31/12/2020 00:45,3.425
31/12/2020 01:00,3.425
31/12/2020 01:15,3.425
31/12/2020 01:30,3.425
31/12/2020 01:45,3.426
31/12/2020 02:00,3.424
31/12/2020 02:15,3.426
31/12/2020 02:30,3.424
31/12/2020 02:45,3.423
31/12/2020 03:00,3.424
31/12/2020 03:15,3.422
31/12/2020 03:30,3.423
31/12/2020 03:45,3.422
31/12/2020 04:00,3.422
31/12/2020 04:15,3.421
31/12/2020 04:30,3.421
31/12/2020 04:45,3.422
31/12/2020 05:00,3.421
31/12/2020 05:15,3.421
31/12/2020 05:30,3.421
31/12/2020 05:45,3.42
31/12/2020 06:00,3.421
31/12/2020 06:15,3.42
31/12/2020 06:30,3.419
31/12/2020 06:45,3.419
31/12/2020 07:00,3.42
31/12/2020 07:15,3.418
31/12/2020 07:30,3.419
31/12/2020 07:45,3.419
31/12/2020 08:00,3.419
31/12/2020 08:15,3.418
31/12/2020 08:30,3.419
31/12/2020 08:45,3.419
31/12/2020 09:00,3.418
31/12/2020 09:15,3.418
31/12/2020 09:30,3.418
31/12/2020 09:45,3.418
31/12/2020 10:00,3.417
31/12/2020 10:15,3.417
31/12/2020 10:30,3.418
31/12/2020 10:45,3.417
31/12/2020 11:00,3.418
31/12/2020 11:15,3.417
31/12/2020 11:30,3.418
31/12/2020 11:45,3.418
31/12/2020 12:00,3.417
31/12/2020 12:15,3.417
31/12/2020 12:30,3.417
31/12/2020 12:45,3.419
31/12/2020 13:00,3.416
31/12/2020 13:15,3.418
31/12/2020 13:30,3.416
31/12/2020 13:45,3.416
31/12/2020 14:00,3.416
31/12/2020 14:15,3.416
31/12/2020 14:30,3.416
31/12/2020 14:45,3.417
31/12/2020 15:00,3.415
31/12/2020 15:15,3.415
31/12/2020 15:30,3.415
31/12/2020 15:45,3.415
31/12/2020 16:00,3.416
31/12/2020 16:15,3.415
31/12/2020 16:30,3.414
31/12/2020 16:45,3.416
31/12/2020 17:00,3.415
31/12/2020 17:15,3.416
31/12/2020 17:30,3.416
31/12/2020 17:45,3.415
31/12/2020 18:00,3.416
31/12/2020 18:15,3.416
31/12/2020 18:30,3.416
31/12/2020 18:45,3.415
31/12/2020 19:00,3.414
31/12/2020 19:15,3.414
31/12/2020 19:30,3.414
31/12/2020 19:45,3.414
31/12/2020 20:00,3.413
31/12/2020 20:15,3.415
31/12/2020 20:30,3.413
31/12/2020 20:45,3.413
31/12/2020 21:00,3.411
31/12/2020 21:15,3.412
31/12/2020 21:30,3.412
31/12/2020 21:45,3.412
31/12/2020 22:00,3.412
31/12/2020 22:15,3.411
31/12/2020 22:30,3.412
31/12/2020 22:45,3.411
31/12/2020 23:00,3.411
31/12/2020 23:15,3.41
31/12/2020 23:30,3.41
31/12/2020 23:45,3.41
01/01/2021 00:00,3.41
01/01/2021 00:15,3.41
01/01/2021 00:30,3.41
01/01/2021 00:45,3.409
01/01/2021 01:00,3.41
01/01/2021 01:15,3.408
01/01/2021 01:30,3.409
01/01/2021 01:45,3.409
01/01/2021 02:00,3.408
01/01/2021 02:15,3.408
01/01/2021 02:30,3.407
01/01/2021 02:45,3.408
01/01/2021 03:00,3.408
01/01/2021 03:15,3.406
01/01/2021 03:30,3.407
01/01/2021 03:45,3.406
01/01/2021 04:00,3.405
01/01/2021 04:15,3.404
01/01/2021 04:30,3.404
01/01/2021 04:45,3.406
01/01/2021 05:00,3.403
01/01/2021 05:15,3.404
01/01/2021 05:30,3.402
01/01/2021 05:45,3.404
01/01/2021 06:00,3.404
01/01/2021 06:15,3.404
01/01/2021 06:30,3.404
01/01/2021 06:45,3.402
01/01/2021 07:00,3.402
01/01/2021 07:15,3.4
01/01/2021 07:30,3.402
01/01/2021 07:45,3.401
01/01/2021 08:00,3.401
01/01/2021 08:15,3.401
01/01/2021 08:30,3.401
01/01/2021 08:45,3.4
01/01/2021 09:00,3.401
01/01/2021 09:15,3.399
01/01/2021 09:30,3.4
01/01/2021 09:45,3.399
01/01/2021 10:00,3.399
01/01/2021 10:15,3.398
01/01/2021 10:30,3.398
01/01/2021 10:45,3.399
01/01/2021 11:00,3.398
01/01/2021 11:15,3.397
01/01/2021 11:30,3.398
01/01/2021 11:45,3.397
01/01/2021 12:00,3.397
01/01/2021 12:15,3.397
01/01/2021 12:30,3.397
01/01/2021 12:45,3.399
01/01/2021 13:00,3.397
01/01/2021 13:15,3.398
01/01/2021 13:30,3.397
01/01/2021 13:45,3.399
01/01/2021 14:00,3.396
01/01/2021 14:15,3.397
