,GUID,SMALL_AREA,OBJECTID,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID.x,Clusters
861,4c07d11e-100a-851d-e053-ca3ca8c0ca7f,47023003,3513,IE05,Southern,IE053,South-West,CK,Cork County,18247,47023,Ballycottin,47023003,A047023003,2
862,4c07d11e-100b-851d-e053-ca3ca8c0ca7f,47023008,3514,IE05,Southern,IE053,South-West,CK,Cork County,18247,47023,Ballycottin,47023008,A047023008,1
863,4c07d11e-100c-851d-e053-ca3ca8c0ca7f,47156001,3515,IE05,Southern,IE053,South-West,CK,Cork County,18256,47156,Garryvoe,47156001,A047156001,2
864,4c07d11e-100d-851d-e053-ca3ca8c0ca7f,47105015,3516,IE05,Southern,IE053,South-West,CK,Cork County,18252,47105,Cloyne,47105015,A047105015,2
865,4c07d11e-100e-851d-e053-ca3ca8c0ca7f,47105009,3517,IE05,Southern,IE053,South-West,CK,Cork County,18252,47105,Cloyne,47105009,A047105009,2
866,4c07d11e-100f-851d-e053-ca3ca8c0ca7f,47105004,3518,IE05,Southern,IE053,South-West,CK,Cork County,18252,47105,Cloyne,47105004,A047105004,2
867,4c07d11e-1052-851d-e053-ca3ca8c0ca7f,47086001,3519,IE05,Southern,IE053,South-West,CK,Cork County,18250,47086,Castlemartyr,47086001,A047086001,2
868,4c07d11e-1053-851d-e053-ca3ca8c0ca7f,47086003,3520,IE05,Southern,IE053,South-West,CK,Cork County,18250,47086,Castlemartyr,47086003,A047086003,5
869,4c07d11e-1054-851d-e053-ca3ca8c0ca7f,47253003,3521,IE05,Southern,IE053,South-West,CK,Cork County,18260,47253,Midleton Rural,47253003,A047253003,2
870,4c07d11e-1055-851d-e053-ca3ca8c0ca7f,47253026,3522,IE05,Southern,IE053,South-West,CK,Cork County,18260,47253,Midleton Rural,47253026,A047253026,1
871,4c07d11e-1056-851d-e053-ca3ca8c0ca7f,47086002,3523,IE05,Southern,IE053,South-West,CK,Cork County,18250,47086,Castlemartyr,47086002,A047086002,2
872,4c07d11e-1057-851d-e053-ca3ca8c0ca7f,47086004,3524,IE05,Southern,IE053,South-West,CK,Cork County,18250,47086,Castlemartyr,47086004,A047086004,2
873,4c07d11e-1058-851d-e053-ca3ca8c0ca7f,47156003,3525,IE05,Southern,IE053,South-West,CK,Cork County,18256,47156,Garryvoe,47156003,A047156003,1
874,4c07d11e-1059-851d-e053-ca3ca8c0ca7f,47173003,3526,IE05,Southern,IE053,South-West,CK,Cork County,18257,47173,Ightermurragh,47173003,A047173003,2
875,4c07d11e-105a-851d-e053-ca3ca8c0ca7f,47156002,3527,IE05,Southern,IE053,South-West,CK,Cork County,18256,47156,Garryvoe,47156002,A047156002,1
876,4c07d11e-105b-851d-e053-ca3ca8c0ca7f,47173004,3528,IE05,Southern,IE053,South-West,CK,Cork County,18257,47173,Ightermurragh,47173004,A047173004,1
877,4c07d11e-105c-851d-e053-ca3ca8c0ca7f,47202003,3529,IE05,Southern,IE053,South-West,CK,Cork County,18323,47202,Killeagh,47202003,A047202003,2
878,4c07d11e-105d-851d-e053-ca3ca8c0ca7f,47205002,3530,IE05,Southern,IE053,South-West,CK,Cork County,18324,47205,Kilmacdonogh,47205002,A047205002,1
879,4c07d11e-105e-851d-e053-ca3ca8c0ca7f,47229005,3531,IE05,Southern,IE053,South-West,CK,Cork County,18095,47229,Knockraha,47229005,A047229005,2
880,4c07d11e-105f-851d-e053-ca3ca8c0ca7f,47279001,3598,IE05,Southern,IE053,South-West,CK,Cork County,18102,47279,Riverstown,47279001,A047279001,2
881,4c07d11e-1060-851d-e053-ca3ca8c0ca7f,47229002,3866,IE05,Southern,IE053,South-West,CK,Cork County,18095,47229,Knockraha,47229002,A047229002,3
882,4c07d11e-1061-851d-e053-ca3ca8c0ca7f,47229004,3867,IE05,Southern,IE053,South-West,CK,Cork County,18095,47229,Knockraha,47229004,A047229004,1
883,4c07d11e-1062-851d-e053-ca3ca8c0ca7f,47318004,3868,IE05,Southern,IE053,South-West,CK,Cork County,18144,47318,Watergrasshill,47318004,A047318004,4
884,4c07d11e-1063-851d-e053-ca3ca8c0ca7f,47240003,3869,IE05,Southern,IE053,South-West,CK,Cork County,18259,47240,Lisgoold,47240003,A047240003,2
885,4c07d11e-1064-851d-e053-ca3ca8c0ca7f,47308002,3870,IE05,Southern,IE053,South-West,CK,Cork County,18264,47308,Templenacarriga,47308002,A047308002,2
886,4c07d11e-1065-851d-e053-ca3ca8c0ca7f,47302002,3871,IE05,Southern,IE053,South-West,CK,Cork County,18263,47302,Templebodan,47302002,A047302002,2
887,4c07d11e-1066-851d-e053-ca3ca8c0ca7f,47318001,3872,IE05,Southern,IE053,South-West,CK,Cork County,18144,47318,Watergrasshill,47318001,A047318001,1
888,4c07d11e-1067-851d-e053-ca3ca8c0ca7f,47168003,3873,IE05,Southern,IE053,South-West,CK,Cork County,18135,47168,Gortroe,47168003,A047168003,1
828,4c07d11e-0f8e-851d-e053-ca3ca8c0ca7f,47026001,3996,IE05,Southern,IE053,South-West,CK,Cork County,18180,47026,Ballyfoyle,47026001,A047026001,1
829,4c07d11e-0f8f-851d-e053-ca3ca8c0ca7f,47150001,3997,IE05,Southern,IE053,South-West,CK,Cork County,18186,47150,Farranbrien,47150001,A047150001,2
830,4c07d11e-0f90-851d-e053-ca3ca8c0ca7f,47215002,3998,IE05,Southern,IE053,South-West,CK,Cork County,18188,47215,Kilpatrick,47215002,A047215002,1
831,4c07d11e-0f91-851d-e053-ca3ca8c0ca7f,47071001,3999,IE05,Southern,IE053,South-West,CK,Cork County,18183,47071,Carrigaline,47071001,A047071001,1
832,4c07d11e-0f92-851d-e053-ca3ca8c0ca7f,47071006,4000,IE05,Southern,IE053,South-West,CK,Cork County,18183,47071,Carrigaline,47071006,A047071006,2
402,4c07d11d-fcc3-851d-e053-ca3ca8c0ca7f,47034003,2232,IE05,Southern,IE053,South-West,CK,Cork County,18107,47034,Ballymoney,47034003,A047034003,1
403,4c07d11d-fcc4-851d-e053-ca3ca8c0ca7f,47212001,2233,IE05,Southern,IE053,South-West,CK,Cork County,18068,47212,Kilnagross,47212001,A047212001,2
404,4c07d11d-fcc5-851d-e053-ca3ca8c0ca7f,47231001,2234,IE05,Southern,IE053,South-West,CK,Cork County,18069,47231,Knocks,47231001,A047231001,1
405,4c07d11d-fcc6-851d-e053-ca3ca8c0ca7f,47056002,2235,IE05,Southern,IE053,South-West,CK,Cork County,18018,47056,Boulteen,47056002,A047056002,1
406,4c07d11d-fcc7-851d-e053-ca3ca8c0ca7f,47220001,2236,IE05,Southern,IE053,South-West,CK,Cork County,18117,47220,Kinneigh,47220001,A047220001,1
407,4c07d11d-fcc8-851d-e053-ca3ca8c0ca7f,47088001,2237,IE05,Southern,IE053,South-West,CK,Cork County,18111,47088,Castletown,47088001,A047088001,1
408,4c07d11d-fcc9-851d-e053-ca3ca8c0ca7f,47220002,2238,IE05,Southern,IE053,South-West,CK,Cork County,18117,47220,Kinneigh,47220002,A047220002,1
409,4c07d11d-fcca-851d-e053-ca3ca8c0ca7f,47088002,2239,IE05,Southern,IE053,South-West,CK,Cork County,18111,47088,Castletown,47088002,A047088002,1
410,4c07d11d-fccb-851d-e053-ca3ca8c0ca7f,47300002,2240,IE05,Southern,IE053,South-West,CK,Cork County,18030,47300,Teadies,47300002,A047300002,1
411,4c07d11d-fd2b-851d-e053-ca3ca8c0ca7f,47264002,2241,IE05,Southern,IE053,South-West,CK,Cork County,18028,47264,Murragh,47264002,A047264002,1
412,4c07d11d-fd2c-851d-e053-ca3ca8c0ca7f,47001001,2242,IE05,Southern,IE053,South-West,CK,Cork County,18054,47001,Abbeymahon,47001001,A047001001,1
413,4c07d11d-fd2d-851d-e053-ca3ca8c0ca7f,047309002/047309004,2243,IE05,Southern,IE053,South-West,CK,Cork County,18073,47309,Templeomalus,047309002/047309004,A047309002/047309004,2
414,4c07d11d-fd2e-851d-e053-ca3ca8c0ca7f,47310001,2244,IE05,Southern,IE053,South-West,CK,Cork County,18074,47310,Timoleague,47310001,A047310001,2
415,4c07d11d-fd2f-851d-e053-ca3ca8c0ca7f,47310002,2245,IE05,Southern,IE053,South-West,CK,Cork County,18074,47310,Timoleague,47310002,A047310002,5
416,4c07d11d-fd30-851d-e053-ca3ca8c0ca7f,47117003,2246,IE05,Southern,IE053,South-West,CK,Cork County,18062,47117,Courtmacsherry,47117003,A047117003,2
417,4c07d11d-fd31-851d-e053-ca3ca8c0ca7f,47275003,2247,IE05,Southern,IE053,South-West,CK,Cork County,18029,47275,Rathclarin,47275003,A047275003,2
418,4c07d11d-fd32-851d-e053-ca3ca8c0ca7f,47112002,2248,IE05,Southern,IE053,South-West,CK,Cork County,18184,47112,Coolmain,47112002,A047112002,1
419,4c07d11d-fd33-851d-e053-ca3ca8c0ca7f,47234002,2249,IE05,Southern,IE053,South-West,CK,Cork County,18191,47234,Laherne,47234002,A047234002,1
420,4c07d11d-fd34-851d-e053-ca3ca8c0ca7f,47031002,2250,IE05,Southern,IE053,South-West,CK,Cork County,18181,47031,Ballymackean,47031002,A047031002,1
421,4c07d11d-fd35-851d-e053-ca3ca8c0ca7f,47208001,2251,IE05,Southern,IE053,South-West,CK,Cork County,18066,47208,Kilmaloda West,47208001,A047208001,1
422,4c07d11d-fd36-851d-e053-ca3ca8c0ca7f,47207001,2252,IE05,Southern,IE053,South-West,CK,Cork County,18065,47207,Kilmaloda East,47207001,A047207001,1
423,4c07d11d-fd37-851d-e053-ca3ca8c0ca7f,47275002,2253,IE05,Southern,IE053,South-West,CK,Cork County,18029,47275,Rathclarin,47275002,A047275002,1
424,4c07d11d-fd38-851d-e053-ca3ca8c0ca7f,47275001,2254,IE05,Southern,IE053,South-West,CK,Cork County,18029,47275,Rathclarin,47275001,A047275001,1
275,4c07d11d-fb6c-851d-e053-ca3ca8c0ca7f,47163002,2361,IE05,Southern,IE053,South-West,CK,Cork County,18315,47163,Goleen,47163002,A047163002,6
