SMALL_AREA,Clusters
47023003,2
47023008,1
47156001,2
47105015,2
47105009,2
47105004,2
47086001,2
47086003,5
47253003,2
47253026,1
47086002,2
47086004,2
47156003,1
47173003,2
47156002,1
47173004,1
47202003,2
47205002,1
47229005,2
47279001,2
47229002,3
47229004,1
47318004,4
47240003,2
47308002,2
47302002,2
47318001,1
47168003,1
47026001,1
47150001,2
47215002,1
47071001,1
47071006,2
47034003,1
47212001,2
47231001,1
47056002,1
47220001,1
47088001,1
47220002,1
47088002,1
47300002,1
47264002,1
47001001,1
047309002/047309004,2
47310001,2
47310002,5
47117003,2
47275003,2
47112002,1
47234002,1
47031002,1
47208001,1
47207001,1
47275002,1
47275001,1
47163002,6
047312002/047312005,1
047241002/047241003/047241004,2
47068001,1
047313001/047313004,1
47110002,1
47013001,1
47199001,1
47199002,2
047095007/047095008,5
47309003,2
47095002,1
47309001,2
47137002,5
47154002,2
47154001,1
47134001,1
47146002,2
47145001,1
47145002,2
47017001,1
47017002,1
47033002,2
47045001,1
47185002,2
47185001,1
47230001,4
47015001,1
47015002,1
47186002,2
47033001,2
47304003,1
47033004,2
47230002,2
47177004,2
47058002,2
47177003,1
47035003,2
47018003,2
47018001,1
47031001,1
047221005/047221006,2
47221003,1
47221004,2
47221013,4
47221012,2
47221007,1
47210001,2
47236001,1
47236002,1
47221001,1
47306003,1
47306002,2
47068003,2
47313003,2
47313002,1
47116005,2
047050002/047050003/047050004,2
47050001,2
47116002,1
47116001,1
47200004,2
47188006,1
47188004,2
47188003,1
47241001,2
47024003,2
047287002/047287003,1
47147001,1
047148002/047148003,2
47148001,1
47024002,1
047189002/047189003/047189004,1
47004005,1
47004004,2
47293004,1
47293006,2
47004003,2
47094002,1
47108001,1
47021001,2
47147002,1
47286001,1
47204001,1
47204002,1
047002003/047002004,2
47002002,2
047187004/047187008,5
47187005,1
47286002,1
47165002,1
47251002,1
47160005,2
47160001,1
47181002,1
047083004/047083005,1
047083001/047083002,2
47293005,2
047082002/047082003,2
47082001,1
047082004/047082005,5
47293003,1
47293001,2
47293002,2
47032003,1
47306001,1
47210004,4
47120002,4
47164001,1
47022001,1
47140006,1
47140008,2
47245003,2
47245010,2
47085002,3
47280001,2
47206003,2
47081002,1
47022003,1
47290002,1
047265005/047265006/047265007/047265008,2
047197003/047197005,2
047197002/047197004,5
47197001,1
47321002,2
47290001,1
47057002,2
47073002,1
47232001,1
47133002,2
47104002,1
047282005/047282006,2
47274001,2
47274002,1
47011003,2
47011001,1
47011004,2
47126001,2
47110001,2
47110003,2
47089001,1
47048003,5
47048002,2
47176003,2
47317001,1
47249002,2
47317002,1
47263001,2
47317003,2
47214002,1
47214001,1
47214003,1
47097003,2
47242002,2
47097001,2
47006002,2
47114003,1
47097004,1
47182003,1
47136003,2
47266001,1
47304002,1
47263002,1
47304001,1
47263006,2
47263003,1
47263004,2
47007004,2
47035001,1
47183001,2
47028006,2
47016050,1
47067002,1
47007003,2
47120001,1
47215001,1
47159001,1
47238001,2
47060004,2
47139002,1
47256003,1
47257002,1
